train_loss,valid_loss
1.043030,0.967449
0.974143,0.921842
0.953691,0.913288
0.947237,0.910506
0.925251,0.839571
0.897349,0.822738
0.888897,0.798149
0.789684,0.562677
0.715961,0.513216
0.687780,0.493221
0.675672,0.478775
0.668103,0.471867
0.663536,0.464773
0.658193,0.463073
0.656444,0.463454
0.651337,0.454931
0.651013,0.450973
0.647015,0.443493
0.648957,0.443517
0.647283,0.450643
