train_loss,valid_loss
0.998767,0.971850
0.961200,0.959770
0.951656,0.954765
0.940402,0.903983
0.853724,0.788429
0.783947,0.708114
0.761009,0.687245
0.751947,0.688844
0.745524,0.684996
0.738605,0.682022
0.738858,0.670494
0.734699,0.671100
0.732901,0.670611
0.728920,0.663878
0.726228,0.664696
0.723709,0.654327
0.722323,0.656053
0.719896,0.652577
0.719788,0.651993
0.718234,0.651545
