train_loss,valid_loss
0.422540,0.224744
0.411868,0.216335
0.395783,0.217110
0.374336,0.214179
0.355576,0.228620
0.339328,0.253833
0.327281,0.229876
0.319350,0.226232
0.313941,0.230767
0.308903,0.229386
0.305009,0.230110
0.299786,0.231775
0.298883,0.222158
0.293867,0.222153
0.292198,0.225940
0.291352,0.226730
0.287492,0.222754
0.287266,0.224469
0.285861,0.229096
0.284758,0.224602
